,مصارفات روزانه دفتر ,,,,,,,,,,
مجموع,مجموع افغانی + دالری,نر خ اسعار دالری,مبلغ دالری,مبلغ افغانی,تفصیلات ,تاریخ,شماره,,,,
"$74,140.9",$0.9,63.5,,AFN 60,خریداری ماست به دفتر,9-Mar-26,526,,,,
"$74,203.8",$62.8,63.5,,"AFN 3,990","خریداری مواد بهداشتی به خانه از قبیل پمپرس Bass, داستمال تر وغیره به خانه ",9-Mar-26,527,,,,
"$74,217.0",$13.2,63.5,,AFN 840,خریداری گاز به دفتر,9-Mar-26,528,,,,
"$74,297.6",$80.6,63.5,,"AFN 5,120","خریداری قیماق, مربا و پنیرک به خانه و دفتر بخاطر رمضان",9-Mar-26,529,,,,
"$74,301.4",$3.8,63.5,,AFN 240,خریداری گاز به دفتر,9-Mar-26,530,,,,
"$74,309.3",$7.9,63.5,,AFN 500,خریداری گوشت سرخی به دفتر ,9-Mar-26,531,,,,
"$74,311.0",$1.7,63.5,,AFN 110,خریداری ماست به دفتر ,9-Mar-26,532,,,,
"$74,312.6",$1.6,63.5,,AFN 100,خریداری ماست به دفتر ,9-Mar-26,533,,,,
"$74,411.0",$98.4,63.5,,"AFN 6,250",خریداری ترموز توسط حاجی عاشق الله  به خانه ,9-Mar-26,534,,,,
"$74,412.3",$1.3,63.5,,AFN 80,"خریداری مواد خوراکی از قبیل رومی, پیاز و گشنیز به دفتر",9-Mar-26,535,,,,
"$74,413.5",$1.3,63.5,,AFN 80,"پرداخت برای عبدالرحیم غفوری بابت رفتن به لیسه حبیبیه, نو آباد دهمزنگ, محکمه و دفتر",9-Mar-26,536,,,,
"$74,476.5",$62.9,63.55,,"AFN 4,000","خریداری مغز به خانه, ترکاری به خانه, حادثه ترافیکی سمیر و برذاشت شخصی سمیر للندر از دفتر",10-Mar-26,537,,,,
"$74,552.5",$76.0,63.55,$76.00,,"پرداخت برای شرکت دما تجهیز بابت خریداری پلیت مرکز گرمی, وال گرما, سامی بیرونی چوری, نوار تفلون و کرای زرنج به واحد نمبر A19 تعمیر للندر 3",10-Mar-26,538,,,,
"$74,556.2",$3.8,63.55,,AFN 240,"پرداخت برای عبدالرحیم بابت رفتن به کوته سنگی , صدرو مجاوز, کوته سنگی, دفتر, چاپ عکس های حاجی رفیع و غیره",10-Mar-26,539,,,,
"$74,561.0",$4.7,63.5,,AFN 300,"خریداری تخم مرغ, آرد نخود, آرد پکوره, مایع ظرفشویی و گشنیز به دفتر",11-Mar-26,540,,,,
"$75,466.5",$905.5,63.5,,"AFN 57,500",پرداخت برای خردیداری یک راس گوساله به خیرات ماه رمضان 1404 توسط حاجی احسان الله سهاک,11-Mar-26,541,,,,
"$75,663.3",$196.9,63.5,,"AFN 12,500",پرداخت برای ماما الله بخاطری شاخه بری نهال های زمین باغ بالا و باغ پاین بابت سال 1405 و پرداخت جمع آوری و پاک کاری ساحه از شاخچه های قطع شده بالا و باغ پاین گلباغ,11-Mar-26,542,,,,
"$75,678.8",$15.4,63.5,,AFN 981,پرداخت برای خبازی عبدالمطلب بغلان بابت خریداری نان خشک به دفتر,11-Mar-26,543,,,,
"$75,700.8",$22.0,63.5,,"AFN 1,400",خریداری گاز مایع به دفتر,11-Mar-26,544,,,,
"$75,702.1",$1.3,63.5,,AFN 80,خریداری تخم مرغ و قیماق به دفتر,11-Mar-26,545,,,,
"$75,704.4",$2.4,63.5,,AFN 150,خریداری دال سفید به دفتر,11-Mar-26,546,,,,
"$75,712.5",$8.0,63.5,,AFN 510,"خریداری روغن, تخم, گشنیز و کرم به دفتر",11-Mar-26,547,,,,
"$75,846.3",$133.9,63.5,,"AFN 8,500",خریداری عینک به خانه از عینک فروشی علیمی,11-Mar-26,548,,,,
"$75,853.0",$6.6,63.5,,AFN 420,"خریداری سینه مرغ, تخم و مصاله زرد چوبه به دفتر",13-Mar-26,549,,,,
"$75,876.5",$23.5,63.7,,"AFN 1,500",پرداخت برای انیل ولد عصمت الله بابت هفته دوم ماه مارچ,14-Mar-26,550,,,,
"$75,900.0",$23.5,63.7,,"AFN 1,500",پرداخت برای نویدالله ولد عصمت الله بابت هفته دوم ماه مارچ,14-Mar-26,551,,,,
"$75,904.9",$4.9,63.7,,AFN 310,"پرداخت برای عبدالرحیم غفوری بابت رفتن به نوآباد دهمزنگ, محکمه, حوزه مالیاتی, کارته چهار حوزه مالیاتی, کوته سنگی, صدور مجاوز و غیره  ",14-Mar-26,552,,,,
"$75,908.2",$3.3,63.7,,AFN 210,"پرداخت برای عبدالرحیم غفوری بابت رفتن به کوته سنگی, صدور مجوز, شهر نو, وزارت داخله و غیره   ",14-Mar-26,553,,,,
"$75,934.4",$26.2,63.7,,"AFN 1,670","خریداری پاچه به خانه, خلال زردک و کشمش به خانه",14-Mar-26,554,,,,
"$75,993.8",$59.3,63.7,,"AFN 3,780",خریداری راد پلاستیک و راد به خانه ,14-Mar-26,555,,,,
"$76,006.0",$12.2,63.7,,AFN 780,"خریداری مواد خوراکی از قبیل خلال زردک, لیمو, سیر, مرچ و کشمش به دفتر",14-Mar-26,,,,,
"$76,012.0",$6.0,63.7,,AFN 380,"خریداری مواد خوراکی از قبیل کچالو, مرچ, گشنیز, قیماق, رومی, زردک و تخم به دفتر",14-Mar-26,,,,,
"$76,031.0",$19.0,63.7,,"AFN 1,210","خریداری سینه مرغ, روغن, چیلی ساس, کانفلور, مصاله گشنیز و مصاله به دفتر",14-Mar-26,,,,,
"$76,032.5",$1.6,63.7,,AFN 100,خریداری پیاز به دفتر ,14-Mar-26,,,,,
"$76,042.7",$10.2,63.7,,AFN 650,خریداری ماهی به مهمان دفتر,14-Mar-26,,,,,
"$76,051.9",$9.1,63.7,,AFN 580,خریداری مواد خوراکی از قبیل خلال زردک و کشمش به دفتر,14-Mar-26,,,,,
"$76,061.9",$10.1,63.5,,AFN 640,"خریداری مواد خوراکی از قبیل پیاز, خلال زردک و کشمش به دفتر",15-Mar-26,556,,,,
"$76,064.3",$2.4,63.5,,AFN 150,"پرداخت برای مصارف بیرونی رحیم از قبیل رفتن به کوته سنگی, صدور مجاوز, پل باغ عمومی, دفتر و کاپی اسناد زیر بنا",15-Mar-26,557,,,,
"$76,069.9",$5.6,63.72,,AFN 360,پرداخت کرای موتر رحیم رفتن به دوکان شهر نو بابت چهار روز,15-Mar-26,558,,,,
"$76,081.1",$11.1,63.72,,AFN 710,پرداخت برای وکیل منطقه کارته چهار بابت وثیقه نصیر مومند همراه با کرای تکسی معراج و رحیم رفت و برگشت,15-Mar-26,559,,,,
"$76,095.2",$14.1,63.72,,AFN 900,"خریداری مواد خوراکی از قبیل ترکاری, سمارق و رومی به دفتر",15-Mar-26,560,,,,
"$76,190.8",$95.6,63.72,,"AFN 6,090","خریداری میوه خشک از قبیل بادام, کشمش,نخود, چهارمغز, کاجو و سیمیان به خانه توسط حاجی عاشق الله",16-Mar-26,561,,,,
"$76,239.1",$48.3,63.72,,"AFN 3,078",پرداخت برای خبازی عبدالمطلب بابت خریداری نان خشک به دفتر بابت 20 روزه ماه حوت 1404,16-Mar-26,562,,,,
"$76,246.9",$7.8,63.72,,AFN 500,خریداری گوشت سرخی به دفتر,16-Mar-26,563,,,,
"$76,248.2",$1.3,63.72,,AFN 80,خریداری کنسر نخود به دفتر,16-Mar-26,564,,,,
"$76,248.5",$0.3,63.72,,AFN 20,خریداری زنجفیل به دفتر,16-Mar-26,565,,,,
"$76,249.6",$1.1,63.72,,AFN 70,خریداری پرس قاب به دفتر,16-Mar-26,566,,,,
"$76,251.6",$2.0,63.72,,AFN 130,"خریداری پالک, گشنیز و پیاز به دفتر",16-Mar-26,567,,,,
"$76,253.1",$1.4,63.72,,AFN 90,"خریداری کرم, گشنیز و تخم به دفتر",16-Mar-26,568,,,,
"$76,254.3",$1.3,63.72,,AFN 80,خریداری پیاز به دفتر,16-Mar-26,569,,,,
"$76,256.4",$2.1,63.72,,AFN 131,"خریداری مواد خوراکی از قبیل کچالو, مرچ و کارنفلور به دفتر",16-Mar-26,570,,,,
"$76,257.2",$0.8,63.72,,AFN 50,خریداری کچالو به دفتر,16-Mar-26,571,,,,
"$76,296.4",$39.2,63.72,,"AFN 2,500",پرداخت برای فعال کردن بسته انترنیت به خانه,16-Mar-26,572,,,,
"$76,296.7",$0.3,63.72,,AFN 20,خریداری سرکه به دفتر,16-Mar-26,573,,,,
"$76,304.1",$7.4,63.72,,AFN 470,"خریداری رومی, گشنیز و تخم به دفتر",16-Mar-26,574,,,,
"$76,341.7",$37.7,63.72,,"AFN 2,400","خریداری مغز, پاچه, سینه مرغ, رومی ,ترکاری, گوشت گوساله و غیره توسط عرش الله",16-Mar-26,575,,,,
"$76,349.7",$8.0,63.72,,AFN 510,"خریداری چارجر برای حاجی صاحب جاوید, خلال زردک بخاطر ختم, پیاز, پلاستیک و کرای تکسی از مندوی الی کارته سه توسط عرش الله",16-Mar-26,576,,,,
"$76,352.7",$3.0,63.72,,AFN 191,"خریداری مرچ, چپلی و نمک به دفتر",16-Mar-26,577,,,,
"$76,450.5",$97.8,63.72,,"AFN 6,230","خریداری میوه خشک از قبیل پسته, بادام, کشمش, نخود و چاکلیت به خانه توسط حاجی عاشق الله ",16-Mar-26,578,,,,
"$76,452.4",$1.9,63.72,,AFN 120,خریداری پرس قاب و کچالو به دفتر,16-Mar-26,579,,,,
"$76,456.8",$4.4,63.72,,AFN 280,خریداری سن ایچ و آب به دفتر,16-Mar-26,580,,,,
"$76,613.8",$157.0,63.7,,"AFN 10,000","پول باقیمانده ذکریا نلدوان بابت حساب باقیمانده تعمیر للندر 3 گذرگاه , پرداخت فعلی برای ذکریا نلدوان از حساب باقیمانده للندر 3 گذرگاه",17-Mar-26,581,,,,
"$76,616.8",$3.0,63.7,,AFN 190,"پرداخت برای مصارف بیرونی رحیم از قبیل رفتن به کوته سنگی, صدور مجاوز, شهر نو , وزیر اکبر خان , چهارراهی انصاری و برگشت به دفتر",17-Mar-26,582,,,,
"$76,619.3",$2.5,63.7,,AFN 160,"پرداخت برای مصارف بیرونی رحیم از قبیل رفتن به صدور مجوز, کوته سنگی و برگشت به دفتر",17-Mar-26,583,,,,
"$76,620.5",$1.3,63.7,,AFN 80,خریداری پیاز به دفتر,17-Mar-26,584,,,,
"$76,630.6",$10.0,63.7,,AFN 640,"خریداری مواد خوراکی از قبیل پیاز, خلال زردک و کشمش به دفتر",17-Mar-26,585,,,,
"$76,787.6",$157.0,63.7,,"AFN 10,000",پرداخت معاش عبدالکریم ولد محمد ظاهر بابت ماه حوت سال 1404    ,18-Mar-26,586,,,,
"$76,834.7",$47.1,63.7,,"AFN 3,000",پرداخت برای انیل ولد عصمت الله بابت هفته سوم و چهارم ,18-Mar-26,587,,,,
"$76,881.8",$47.1,63.7,,"AFN 3,000",پرداخت برای نویدالله ولد عصمت الله بابت هفته سوم و چهارم ,18-Mar-26,588,,,,
"$76,991.6",$109.9,63.7,,"AFN 7,000","خریداری گوشت, ترکاری, خلال زردک, کشمش و روغن به خیرات رمضان توسط سمیر للندر ",18-Mar-26,589,,,,
"$77,006.3",$14.6,63.7,,AFN 933,"خریداری آرد سخاری و مصاله دانه کنجد, مصاله پکوره, کانفلور, تخم مرغ, کچالو, گاز مایح به دفتر ",18-Mar-26,590,,,,
"$78,006.3","$1,000.0",63.7,"$1,000.00",,پرداخت برای ریس هارون از درک پول باقیمانده واحد نمبر 5 تعمیر للندر 2 بدست محمد نعیم حمیدی,18-Mar-26,591,,,,
"$78,016.4",$10.1,64.3,,AFN 650,خریداری ماهی برای دفتر توسط سمیر ,24-Mar-26,592,,,,
"$78,018.3",$1.9,64.3,,AFN 120,"مصارف بیرونی عبدالرحیم از قبیل رفتن به صدور مجاوز, کوته سنگی, پل باغ عمومی و دفتر",24-Mar-26,593,,,,
"$78,023.4",$5.1,64.3,,AFN 330,"پرداخت کرای موتر به وزارت داخله, کاپی اسناد, چاپ عکس های حاجی رفیع الله و برگشت به دفتر",24-Mar-26,594,,,,
"$78,064.3",$40.9,64.3,,"AFN 2,630","پرداخت مصارف عبدالرحیم از قبیل 1000 افغانی پول جعلی, کمیشن بانکی تعرفه ها و پرداخت تعرفه تمدیدی و کرای موتر",24-Mar-26,595,,,,
"$78,075.2",$10.9,64.3,,AFN 700,"پرداخت برای مصارف عبدالرحیم به صدور مجاوز, وزارت داخله,کارت مبایل , کاپی اسناد حاجی  زیور, وزارت داخله و انتقال اسلحه به دفتر",24-Mar-26,596,,,,
"$78,078.3",$3.1,64.3,,AFN 200,خریداری کارت موبایل به عبدالرحیم موبوط دفتر,24-Mar-26,597,,,,
"$78,264.9",$186.6,64.3,,"AFN 12,000",پرداخت تعرفه امر سلاح تفنگچه تروس برازیلی,24-Mar-26,598,,,,
"$79,815.8","$1,550.9",64.3,,"AFN 99,720",پرداخت تعرفه ریاست آبرسانی حاجی زیور (آریا تاور) ,24-Mar-26,599,,,,
"$80,429.6",$613.8,64.3,,"AFN 39,468",پرداخت تعرفه 33 متر جایداد دولتی تعمیر باغ قاضی بابت ماه حوت 1404,24-Mar-26,600,,,,
"$80,616.2",$186.6,64.3,,"AFN 12,000",پیش پرداخت برای عبدالرحیم ولد عبدالغفور بابت ماه حوت سال 1404 ,24-Mar-26,601,,,,
"$81,549.3",$933.1,64.3,,"AFN 60,000",پرداخت تعرفه امر سلاح کلاکوف روسی ,24-Mar-26,602,,,,
"$82,482.5",$933.1,64.3,,"AFN 60,000",پرداخت تعرفه امر سلاح کلاشینکوف روسی ,24-Mar-26,603,,,,
"$82,491.5",$9.0,64.3,,AFN 580,"پرداخت برای مصارفات کرای موتر عبدالرحیم به طی مراحل اسناد دولتی به صدور مجوز, وزارت داخله به تاریخ 3- مارچ 2026",24-Mar-26,604,,,,
"$82,508.4",$16.9,63.21,,"AFN 1,070","مصارف بیرونی عبدالرحیم از قبیل رفتن به کوته سنگی, صدور مجاوز, کاپی اسناد دستور نقشه میر علم برکی, چهارراهی شهر وزارت داخله , تحویلی برای کارمند وزارت داخله, چهاراهی شهر و برکی, صدور مجاوز, پل باغ عمومی, نان چاشت, صدور مجاوز الی دفتر کوته سنگی",25-Mar-26,605,,,,
"$82,522.2",$13.8,63.21,,AFN 870,خریداری پلی به دفتر,25-Mar-26,606,,,,
"$82,533.2",$11.1,63.21,,AFN 700,خریداری چای سبز به دفتر,25-Mar-26,607,,,,
"$82,535.1",$1.9,63.21,,AFN 120,خریداری اسفنج و پیش بند به دفتر,25-Mar-26,608,,,,
"$82,544.6",$9.5,63.21,,AFN 600,خریداری میخک و زنجفیل به دفتر,25-Mar-26,609,,,,
"$82,557.6",$13.0,63.21,,AFN 820,"خریداری هیل اکبر, کرایی کراچی, کرای راه رحیم الی دفتر",25-Mar-26,610,,,,
"$82,570.4",$12.8,63.21,,AFN 810,"خریداری اسپری, ورق الکوزی و پودر به دفتر",25-Mar-26,611,,,,
"$82,576.3",$5.9,63.21,,AFN 370,خریداری چای سبز به دفتر,25-Mar-26,612,,,,
"$82,595.0",$18.7,64.2,,"AFN 1,200",پرداخت برای چاپ 20 جلد بل بوک به نان خشک دفتر و پروژه های للندر,26-Mar-26,613,,,,
"$82,598.1",$3.1,64.2,,AFN 200,خریداری پایپ خرطومی نیم انج به کیبل فابیر نوری انترنت دفتر,26-Mar-26,614,,,,
"$82,672.9",$74.8,64.2,,"AFN 4,800","خریداری روترفایبر نوری به دفتر, پرداخت فیس انترنت ماهوار فایبر نوری به دفتر از 23 مارچ الی 23 اپریل 2026",26-Mar-26,615,,,,
"$82,676.0",$3.1,64.2,,AFN 200,"مصارف بیرونی عبدالرحیم بابت رفتن به کوته سنگی, صدور مجوز, شهر نو, وزیر اکبر خان , شعر نو, صدور مجوز, کوته سنگی دفتر",26-Mar-26,616,,,,
"$82,679.1",$3.1,64.1,,AFN 200,پرداخت کرای تکسی رفت و برگشت به تعمیر باغ قاضی بابت تخریب تعمیر ,28-Mar-26,617,,,,
"$82,686.9",$7.8,64.1,,AFN 500,پرداخت برای رشوه به ترفیک بابت پلیت موتر تقره یی,28-Mar-26,618,,,,
"$82,691.7",$4.8,64.1,,AFN 310,"خریداری کوک, تخم مرغ, الکوزی برای مهمان ها و تخم مرغ به دفتر ",28-Mar-26,619,,,,
"$82,695.3",$3.6,64.1,,AFN 230,"پرداخت برای عبدالرحیم غفوری بابت رفتن به پل باغ عمومی, برکی, چهاراهی شهر, خیر خانه, برکی, دفتر و غیره ",28-Mar-26,620,,,,
"$82,728.9",$33.5,64.1,,"AFN 2,150","خریداری ترکاری از قبیل کرم, گشنیز, رومی, پیاز و غیره و خریداری گوشت و گوشت مرغ به دفتر ",28-Mar-26,621,,,,
"$82,734.3",$5.5,64.1,,AFN 350,"خریداری کدوگک, کچالو, رومی, مرچ تازه, گشنیز به دفتر ",28-Mar-26,622,,,,
"$82,736.7",$2.3,64.1,,AFN 150,خریداری قهوه به دفتر ,28-Mar-26,623,,,,
"$82,737.4",$0.8,64.1,,AFN 50,خریداری سیر و زنجفیل به دفتر,29-Mar-26,624,,,,
"$82,740.1",$2.6,65,,AFN 170,"مصارف بیرونی رحیم از قبیل رفتن به کوته سنگی, صدور مجوز, شهرنو, وزیراکبر خان, شهر نو, صدور, کوته سنگی و دفتر ",29-Mar-26,625,,,,
"$82,745.4",$5.4,65,,AFN 350,خریداری کچالو به دفتر ,29-Mar-26,626,,,,
"$82,764.2",$18.8,65,,"AFN 1,220","خریداری سینه مرغ, تخم مرغ , برنج پلویی و نوش پیاز به دفتر",29-Mar-26,627,,,,
"$82,766.2",$2.0,65,,AFN 130,"خریداری شیشه پاکن, کوک کلان و قهوه به دفتر ",29-Mar-26,628,,,,
"$82,767.7",$1.5,65,,AFN 100,خریداری پیاز به دفتر,29-Mar-26,629,,,,
"$82,856.4",$88.6,65,,"AFN 5,760",پرداخت فیس مکتب تااه للندر بابت مارچ سال 2026 و حمل 1405,29-Mar-26,630,,,,
"$82,957.0",$100.6,65,,"AFN 6,540",پرداخت فیس مکتب تله للندر بابت مارچ سال 2026,29-Mar-26,631,,,,
"$83,003.1",$46.2,65,,"AFN 3,000",خریداری گاز مایح به دفتر,29-Mar-26,632,,,,
"$83,016.4",$13.2,65,,AFN 860,"خریداری روغن, چیلی ساس و سویا به دفتر",29-Mar-26,633,,,,
"$83,016.8",$0.5,65,,AFN 30,خریداری نمک به دفتر,30-Mar-26,634,,,,
"$83,045.1",$28.3,65,,"AFN 1,840",پرداخت بخاطر شستن چهار قالین دفتر کارته سه ,30-Mar-26,635,,,,
"$83,052.4",$7.2,65,,AFN 470,"خریداری مواد خوراکی از قبیل خلال زردک, لیمو, سیر, مرچ و کشمش به دفتر",30-Mar-26,636,,,,
"$83,060.1",$7.7,65,,AFN 500,خریداری قابلی و قبلی پلو به دفتر,30-Mar-26,637,,,,
"$83,061.9",$1.8,65,,AFN 120,خریداری پیپ مسلم شاور به دفتر کارته سه,30-Mar-26,638,,,,
"$83,065.0",$3.1,65,,AFN 200,خریداری کشمش و خلال زردک به دفتر,30-Mar-26,639,,,,
"$83,070.4",$5.4,65,,AFN 350,خریداری کچالو به دفتر ,30-Mar-26,640,,,,
"$83,075.6",$5.2,65,,AFN 340,خریداری سینه مرغ به دفتر,30-Mar-26,641,,,,
"$83,114.1",$38.5,65,,"AFN 2,500","خریداری شیرینی برای دهن دروازه ریس صاحب, معغاون صاحب توسط رحیم غفوری",30-Mar-26,642,,,,
"$83,114.7",$0.6,65,,AFN 40,خریداری کوک به دفتر,30-Mar-26,643,,,,
"$83,117.7",$3.1,65,,AFN 200,"مصارف بیرونی رحیم از قبیل رفتن به کوته سنگی, صدور مجوز, چهاراهی شهر, شهر نو , صدور, کوته سنگی و دفتر",30-Mar-26,644,,,,
"$83,120.8",$3.1,65,,AFN 200,پرداخت بابت ترمیم فلتر آب کارته سه,30-Mar-26,645,,,,
"$83,130.2",$9.4,65,,AFN 610,خریداری گوشت مرغ به دفتر,31-Mar-26,637,,,,
"$83,893.4",$763.2,64.2,,"AFN 49,000",خریداری یک راس گاو به هدایت حاجی عاشق الله بابت ختم و پرداخت کرایه موتری آن مربوط دفتر,31-Mar-26,631.5,,,,
"$83,894.7",$1.2,64.2,,AFN 80,خریداری سبزی و تخم به دفتر,31-Mar-26,628,,,,
"$83,903.1",$8.4,64.2,,AFN 540,"خریداری آش, چیلی ساس و سینه مرغ به دفتر",31-Mar-26,624.5,,,,
"$83,909.0",$5.9,64.2,,AFN 380,خریداری آچار به دفتر,31-Mar-26,621,,,,
"$83,919.6",$10.6,64.2,,AFN 680,"خریداری برنج, کشنیز, رومی و ماست به دفتر",31-Mar-26,617.5,,,,
"$83,923.8",$4.2,64.2,,AFN 270,"مصارف بیرونی عبدالرحیم از قبیل رفتن به کوته سنگی, صدور مجاوز, شهر نو, وزیر اکبر خان, اسکن اسناد میر علم, شهر نو و صدور مجوز, کوته سنگی و دفتر",31-Mar-26,614,,,,
"$84,728.5",$804.7,64.82,,"AFN 52,160",پرداخت قسط دوم پول باقیمانده وکیل پرویز بابت حفر چاه و فیس مرکز گرمی واحد های حاجی خلیل تعمیر للندر 2,1-Apr-26,600,,,,
"$84,729.3",$0.8,64.82,,AFN 50,خریداری تخم مرغ به دفتر,1-Apr-26,596.5,,,,
"$84,731.0",$1.7,64.82,,AFN 110,خریداری تخم مرغ و بوره به دفتر,1-Apr-26,593,,,,
"$84,733.6",$2.6,64.82,,AFN 170,خریداری صابون و روی پاک به دفتر,1-Apr-26,589.5,,,,
"$84,735.9",$2.3,64.82,,AFN 150,خریداری قهوه کاپوچینو به دفتر,1-Apr-26,642,,,,
"$84,737.5",$1.5,64.82,,AFN 100,خریداری کوک به دفتر,1-Apr-26,643,,,,
"$84,740.8",$3.4,64.82,,AFN 220,"خریداری کچالو, کرم و تخم به دفتر",1-Apr-26,644,,,,
"$84,742.5",$1.7,64.82,,AFN 110,خریداری ماش میده به دفتر,1-Apr-26,645,,,,
"$84,754.9",$12.3,64.82,,AFN 800,خریداری مساله جات به دفتر,1-Apr-26,646,,,,
"$84,756.4",$1.5,64.82,,AFN 100,"مصارف بیرونی عبدالرحیم از قبیل رفتن به دهمزنگ , دفتر, کارته سه, دفتر و اسکن قباله نیک",1-Apr-26,647,,,,
"$84,759.8",$3.4,64.82,,AFN 220,"خریداری مرچ, سیر, زنجفیل و پیاز به دفتر",1-Apr-26,648,,,,
"$84,765.5",$5.7,64.82,,AFN 370,"خریداری کچالو, کرم و گشنیز به دفتر",1-Apr-26,649,,,,
"$84,777.6",$12.0,64.82,,AFN 780,خریداری گاز به رستورانت عافیت,2-Apr-26,650,,,,
"$84,787.1",$9.6,64.82,,AFN 620,"مصارف بیرونی عبدالرحیم از قبیل رفتن به کوته سنگی, صدور مجاوز, شهرنو, وزیر اکبر خان, شهر نو, صدور, کوته سنگی, کارته سه, دفتر و پرنت نقشه میرعلم ",4-Apr-26,,,,,
"$84,795.1",$8.0,65,,AFN 520,"خریداری برنج, کشمش و خلال به دفتر",5-Apr-26,651,,,,
"$84,795.9",$0.8,65,,AFN 50,خریداری کوک به دفتر,5-Apr-26,652,,,,
"$85,095.9",$300.0,65,,"AFN 19,500",پرداخت فیس مکتب و نان چاشت اطفال خانه (سادت الله),5-Apr-26,653,,,,
"$85,395.9",$300.0,65,,"AFN 19,500",پرداخت فیس مکتب و نان چاشت اطفال خانه (عبادالله),5-Apr-26,654,,,,
"$85,397.7",$1.8,65,,AFN 120,خریداری چکه و سیر به دفتر ,5-Apr-26,655,,,,
"$85,402.4",$4.6,65,,AFN 300,"مصارف بیرونی عبدالرحیم از قبیل رفتن به کوته سنگی, صدور مجوز, دفتر, اسکن اسناد میرعلم برای انجنیرها و کرای راه پل سرخ",5-Apr-26,656,,,,
"$85,414.7",$12.3,65,,AFN 800,"خریداری رومی, کچالو, ترکاری و روغن به دفتر",6-Apr-26,657,,,,
"$85,430.1",$15.4,65,,"AFN 1,000",خریداری گوشت گوساله به دفتر,6-Apr-26,658,,,,
"$85,436.2",$6.2,65,,AFN 400,خریداری برنج هندی به دفتر ,6-Apr-26,659,,,,
"$85,467.0",$30.8,64.93,,"AFN 2,000",پرداخت بابت ترمسم کوچ های دفتر,6-Apr-26,654,,,,
"$85,477.0",$10.0,64.93,,AFN 650,پرداخت اجرت ایزوگام کاری تشنابهای خانه مصطفی انوری للندر 1 کارته سه,6-Apr-26,655,,,,
"$85,523.2",$46.2,64.93,,"AFN 3,000",پیش پرداخت برای نصیر بابت سنگ کاری باغ قاضی ,6-Apr-26,656,,,,
"$85,526.9",$3.7,64.93,,AFN 240,"مصارف بیرونی عبدالرحیم از قبیل رفتن به کارته سه, کوته سنگی, صدور, شهرنو, وزیراکبر خان, شهر, کوته سنگی و دفتر ",7-Apr-26,657,,,,
"$85,541.9",$15.0,64.93,,AFN 975,خریداری گاز به دفتر,7-Apr-26,658,,,,
"$85,546.6",$4.6,64.93,,AFN 300,خریداری پنیر به دفتر,7-Apr-26,659,,,,
"$85,547.3",$0.8,64.93,,AFN 50,خریداری قیماق به دفتر,7-Apr-26,660,,,,
"$85,558.1",$10.8,64.93,,AFN 700,"خریداری مواد خوراکی از قبیل پالک, رومی, پیاز, گشنیز, زنجفیل, سیر, ماست و مرچ به دفتر",7-Apr-26,661,,,,
"$85,567.0",$8.9,64.93,,AFN 575,"خریداری مواد خوراکی از قبیل رومی, کدوگک, پیاز, گشنیز, مرچ تازه و روغن به دفتر",7-Apr-26,662,,,,
"$85,570.0",$3.1,64.93,,AFN 200,خریداری کارت موبایل توسط عبدالرحیم,8-Apr-26,663,,,,
"$85,572.7",$2.6,64.93,,AFN 170,"خریداری رومی, پیاز, گشنیز و زردچوبه به دفتر",8-Apr-26,664,,,,
"$85,576.5",$3.9,64.93,,AFN 250,خریداری بامیه به دفتر,8-Apr-26,665,,,,
"$85,583.4",$6.9,64.93,,AFN 450,"مصارف بیرونی رحیم از قبیل رفتن به کوته سنگی, صدور مجوز, شهر نو, وریر اکبر خان, دفتر, پرنت نقشه ساختمان نیک محمد به دفتر",8-Apr-26,666,,,,
"$87,183.4","$1,600.0",64.93,"$1,600.00",,پرداخت کرای آپارتمان 24 تعمیر للندر 2 استفاده برای حاجی خلیل الله از تاریخ 16 حوت 1404 الی 15 سرطان 1405,8-Apr-26,667,,,,
"$87,185.6",$2.2,64.93,,AFN 140,خریداری سویا ساس به دفتر,8-Apr-26,,,,,
"$87,416.6",$231.0,64.93,,"AFN 15,000",پرداخت برای ذکریا نلدون از درک حساب باقیمانده تعمیر للندر 3 گذرگاه ,9-Apr-26,668,,,,
"$89,416.6","$2,000.0",64.93,"$2,000.00",,پرداخت برای وکیل رحمانی که قبلا توسط بی بی حاجی پرداخت گردیده بوده در جمع حساب جایداد عبدالله مجرا داد می شود  پرداخت برای وکیل رحمانی به هدایت حاجی رفیع الله بابت جایداد عبدالله ,9-Apr-26,669,,,,
"$89,420.8",$4.2,64.93,,AFN 270,"خریداری رومی, زردک, ترکاری, سیر, زنجفیل, پیاز, کچالو و مرچ به دفتر ",11-Apr-26,670,,,,
"$89,431.2",$10.5,64.93,,AFN 680,خریداری گوشت گوساله به دفتر,11-Apr-26,671,,,,
"$89,444.8",$13.6,64.8,,AFN 880,"مصارف بیرونی عبدالرحیم بابت رفتن به کارته سه, دفتر, کوته سنگی, صدور مجوز, کوته سنگی, دفتر, شهرنو, پرنت اسناد و نقشه نیک محمد به هدایت حاجی احسان و پرنت دستور نقشه",11-Apr-26,672,,,,
"$89,753.5",$308.6,64.8,,"AFN 20,000",به مقدار 20000 افغانی به احمدالله از درک لباس های خانه داده شد,11-Apr-26,673,,,,
"$89,757.3",$3.9,64.8,,AFN 250,خریداری مصاله به دفتر,11-Apr-26,674,,,,
